Station Name, x, y
Adarsh Nagar Metro Station, 28.716499,	77.170505
AIIMS Metro Station, 28.566828,	77.20812
Akshardham Metro Station, 28.618002,	77.279372
Anand Vihar Metro Station, 28.646989,	77.316019
Arjan Garh Metro Station, 28.480793,	77.125775
Ashok Park Main Metro Station, 28.6716,	77.155077
Azadpur Metro Station, 28.707011,	77.180542
Badarpur Border Metro Station, 28.493215,	77.303001
Badkhal Mor Metro Station, 28.422814,	77.310278
Barakhambha Road Metro Station, 28.629907,	77.224159
Bata Chowk Metro Station, 28.385961,	77.31343
Botanical Garden Metro Station, 28.56404,	77.334269
Central Secretariat Metro Station, 28.615214,	77.211978
Chandni Chowk Metro Station, 28.657847,	77.230144
Chawri Bazar Metro Station, 28.649407,	77.226324
Chhatarpur Metro Station, 28.506783,	77.174892
Civil Lines Metro Station, 28.676973,	77.224975
Delhi Aerocity Metro Station, 28.548833,	77.120696
Delhi Gate Metro Station, 28.640258,	77.240395
Dhaula Kuan Metro Station, 28.591853,	77.16169
Dilshad Garden Metro Station, 28.67583,	77.321468
Dwarka Metro Station, 28.619365,	77.033148
Dwarka Mor Metro Station, 28.619365,	77.033148
Dwarka Sector 10 Metro Station, 28.581097,	77.057481
Dwarka Sector 11 Metro Station, 28.586496,	77.049385
Dwarka Sector 12 Metro Station, 28.592281,	77.04066
Dwarka Sector 13 Metro Station, 28.597139,	77.033463
Dwarka Sector 14 Metro Station, 28.602238,	77.025996
Dwarka Sector 21 Metro Station, 28.552322,	77.058383
Dwarka Sector 8 Metro Station, 28.565622,	77.067015
Dwarka Sector 9 Metro Station, 28.574448,	77.065171
Escorts Mujesar Metro Station, 28.370176,	77.314954
Ghitorni Metro Station, 28.493788, 77.149146
Golf Course Metro Station, 28.567175,	77.345992
Govind Puri Metro Station, 28.544606,	77.264287
Green Park Metro Station, 28.559823,	77.206831
GTB Nagar Metro Station, 28.697837,	77.206944
Guru Dronacharya Metro Station, 28.48212,	77.10222
Haiderpur Metro Station, 28.729923,	77.14913
Hauz Khas Metro Station, 28.543444,	77.206344
HUDA City Centre Metro Station, 28.459269,	77.072419
IFFCO Chowk Metro Station, 28.472165,	77.072512
INA Metro Station, 28.57522,	77.2095
Inderlok Metro Station, 28.673512,	77.170212
Indira Gandhi International Airport Metro Station, 28.557024,	77.086816
Indraprastha Metro Station, 28.620528,	77.249878
ITO Metro Station, 28.627204,	77.240953
Jahangirpuri Metro Station, 28.725833,	77.162752
Jama Masjid Metro Station, 28.650679,	77.233442
Janakpuri East Metro Station, 28.633125,	77.086575
Janakpuri West Metro Station, 28.629409,	77.077762
